symbol,name,index_style,market
000001,上证指数,broad,a-shares
000016,上证50,broad,a-shares
000300,沪深300,broad,a-shares
000688,科创50,broad,a-shares
000905,中证500,broad,a-shares
000852,中证1000,broad,a-shares
399001,深证成指,broad,a-shares
399006,创业板指,broad,a-shares
399673,创业板50,broad,a-shares
801010,农林牧渔,sector,a-shares
801020,采掘,sector,a-shares
801030,化工,sector,a-shares
801040,钢铁,sector,a-shares
801050,有色金属,sector,a-shares
801080,电子,sector,a-shares
801110,家用电器,sector,a-shares
801120,食品饮料,sector,a-shares
801150,医药生物,sector,a-shares
801180,房地产,sector,a-shares
801200,商业贸易,sector,a-shares
801230,综合,sector,a-shares
801750,计算机,sector,a-shares
801760,传媒,sector,a-shares
801770,通信,sector,a-shares
801780,银行,sector,a-shares
801790,非银金融,sector,a-shares
801880,汽车,sector,a-shares
801890,机械设备,sector,a-shares
801950,电气设备,sector,a-shares
801960,国防军工,sector,a-shares
801970,交通运输,sector,a-shares
801980,建筑材料,sector,a-shares
801990,建筑装饰,sector,a-shares
802000,轻工制造,sector,a-shares
802010,纺织服装,sector,a-shares
802030,休闲服务,sector,a-shares
802040,公用事业,sector,a-shares
HSI,恒生指数,overseas,hk
HSCEI,恒生中国企业指数,overseas,hk
SPX,标普500,overseas,us
IXIC,纳斯达克综合,overseas,us
DJI,道琼斯工业平均,overseas,us
