symbol,sw_level1,sw_level2,style_category,mapping_status
000001,银行,,大金融,verified
000002,,,,missing
000006,,,,missing
000007,,,,missing
000008,,,,missing
000009,,,,missing
000010,,,,missing
000011,,,,missing
000012,,,,missing
000014,,,,missing
000016,,,,missing
000017,,,,missing
000019,,,,missing
000020,,,,missing
000021,,,,missing
000025,,,,missing
000026,,,,missing
000027,,,,missing
000028,,,,missing
000029,,,,missing
000030,,,,missing
000031,,,,missing
000032,,,,missing
000034,,,,missing
000035,,,,missing
000036,,,,missing
000037,,,,missing
000039,,,,missing
000042,,,,missing
000045,,,,missing
000048,,,,missing
000049,,,,missing
000050,,,,missing
000055,,,,missing
000056,,,,missing
000058,,,,missing
000059,,,,missing
000060,,,,missing
000061,,,,missing
000062,,,,missing
000063,,,,missing
000065,,,,missing
000066,,,,missing
000068,,,,missing
000069,,,,missing
000070,,,,missing
000078,,,,missing
000088,,,,missing
000089,,,,missing
000090,,,,missing
000096,,,,missing
000099,,,,missing
000100,,,,missing
000151,,,,missing
000153,,,,missing
000155,,,,missing
000156,,,,missing
000157,,,,missing
000158,,,,missing
000159,,,,missing
000166,,,,missing
000301,,,,missing
000333,,,,missing
000338,,,,missing
000400,,,,missing
000401,,,,missing
000402,,,,missing
000403,,,,missing
000404,,,,missing
000407,,,,missing
000408,,,,missing
000409,,,,missing
000410,,,,missing
000411,,,,missing
000415,,,,missing
000417,,,,missing
000419,,,,missing
000420,,,,missing
000421,,,,missing
000422,,,,missing
000423,,,,missing
000425,,,,missing
000426,,,,missing
000428,,,,missing
000429,,,,missing
000430,,,,missing
000488,,,,missing
000498,,,,missing
000501,,,,missing
000503,,,,missing
000504,,,,missing
000505,,,,missing
000506,,,,missing
000507,,,,missing
000509,,,,missing
000510,,,,missing
000513,,,,missing
000514,,,,missing
000516,,,,missing
000517,,,,missing
000518,,,,missing
000519,,,,missing
000520,,,,missing
000521,,,,missing
000523,,,,missing
000524,,,,missing
000525,,,,missing
000526,,,,missing
000528,,,,missing
000529,,,,missing
000530,,,,missing
000531,,,,missing
000532,,,,missing
000533,,,,missing
000534,,,,missing
000536,,,,missing
000537,,,,missing
000538,,,,missing
000539,,,,missing
000541,,,,missing
000543,,,,missing
000544,,,,missing
000545,,,,missing
000546,,,,missing
000547,,,,missing
000548,,,,missing
000550,,,,missing
000551,,,,missing
000552,,,,missing
000553,,,,missing
000554,,,,missing
000555,,,,missing
000557,,,,missing
000558,,,,missing
000559,,,,missing
000560,,,,missing
000561,,,,missing
000563,,,,missing
000564,,,,missing
000565,,,,missing
000566,,,,missing
000567,,,,missing
000568,,,,missing
000570,,,,missing
000571,,,,missing
000572,,,,missing
000573,,,,missing
000576,,,,missing
000581,,,,missing
000582,,,,missing
000586,,,,missing
000589,,,,missing
000590,,,,missing
000591,,,,missing
000592,,,,missing
000593,,,,missing
000595,,,,missing
000596,,,,missing
000597,,,,missing
000598,,,,missing
000599,,,,missing
000600,,,,missing
000601,,,,missing
000603,,,,missing
000605,,,,missing
000607,,,,missing
000608,,,,missing
000609,,,,missing
000610,,,,missing
000612,,,,missing
000615,,,,missing
000617,,,,missing
000619,,,,missing
000620,,,,missing
000623,,,,missing
000625,,,,missing
000626,,,,missing
000628,,,,missing
000629,,,,missing
000630,,,,missing
000631,,,,missing
000632,,,,missing
000633,,,,missing
000635,,,,missing
000636,,,,missing
000637,,,,missing
000639,,,,missing
000650,,,,missing
000651,,,,missing
000652,,,,missing
000655,,,,missing
000656,,,,missing
000657,,,,missing
000659,,,,missing
000661,,,,missing
000663,,,,missing
000665,,,,missing
000668,,,,missing
000669,,,,missing
000670,,,,missing
000672,,,,missing
000676,,,,missing
000677,,,,missing
000678,,,,missing
000679,,,,missing
000680,,,,missing
000681,,,,missing
000682,,,,missing
000683,,,,missing
000685,,,,missing
000686,,,,missing
000688,,,,missing
000690,,,,missing
000691,,,,missing
000692,,,,missing
000695,,,,missing
000697,,,,missing
000698,,,,missing
000700,,,,missing
000701,,,,missing
000702,,,,missing
000703,,,,missing
000705,,,,missing
000707,,,,missing
000708,,,,missing
000709,,,,missing
000710,,,,missing
000711,,,,missing
000712,,,,missing
000713,,,,missing
000715,,,,missing
000716,,,,missing
000717,,,,missing
000718,,,,missing
000719,,,,missing
000720,,,,missing
000721,,,,missing
000722,,,,missing
000723,,,,missing
000725,,,,missing
000726,,,,missing
000727,,,,missing
000728,,,,missing
000729,,,,missing
000731,,,,missing
000733,,,,missing
000735,,,,missing
000736,,,,missing
000737,,,,missing
000738,,,,missing
000739,,,,missing
000750,,,,missing
000751,,,,missing
000752,,,,missing
000753,,,,missing
000755,,,,missing
000756,,,,missing
000757,,,,missing
000758,,,,missing
000759,,,,missing
000761,,,,missing
000762,,,,missing
000766,,,,missing
000767,,,,missing
000768,,,,missing
000776,,,,missing
000777,,,,missing
000778,,,,missing
000779,,,,missing
000782,,,,missing
000783,,,,missing
000785,,,,missing
000786,,,,missing
000788,,,,missing
000789,,,,missing
000790,,,,missing
000791,,,,missing
000792,,,,missing
000793,,,,missing
000795,,,,missing
000796,,,,missing
000797,,,,missing
000798,,,,missing
000799,,,,missing
000800,,,,missing
000801,,,,missing
000802,,,,missing
000803,,,,missing
000807,,,,missing
000809,,,,missing
000810,,,,missing
000811,,,,missing
000812,,,,missing
000813,,,,missing
000815,,,,missing
000816,,,,missing
000818,,,,missing
000819,,,,missing
000820,,,,missing
000821,,,,missing
000822,,,,missing
000823,,,,missing
000825,,,,missing
000826,,,,missing
000828,,,,missing
000829,,,,missing
000830,,,,missing
000831,,,,missing
000833,,,,missing
000837,,,,missing
000838,,,,missing
000839,,,,missing
000848,,,,missing
000850,,,,missing
000852,,,,missing
000856,,,,missing
000858,,,,missing
000859,,,,missing
000860,,,,missing
000862,,,,missing
000863,,,,missing
000868,,,,missing
000869,,,,missing
000875,,,,missing
000876,,,,missing
000877,,,,missing
000878,,,,missing
000880,,,,missing
000881,,,,missing
000882,,,,missing
000883,,,,missing
000885,,,,missing
000886,,,,missing
000887,,,,missing
000888,,,,missing
000889,,,,missing
000890,,,,missing
000892,,,,missing
000893,,,,missing
000895,,,,missing
000897,,,,missing
000898,,,,missing
000899,,,,missing
000900,,,,missing
000901,,,,missing
000902,,,,missing
000903,,,,missing
000905,,,,missing
000906,,,,missing
000908,,,,missing
000909,,,,missing
000910,,,,missing
000911,,,,missing
000912,,,,missing
000913,,,,missing
000915,,,,missing
000917,,,,missing
000919,,,,missing
000920,,,,missing
000921,,,,missing
000922,,,,missing
000923,,,,missing
000925,,,,missing
000926,,,,missing
000927,,,,missing
000928,,,,missing
000929,,,,missing
000930,,,,missing
